=== JR Instruction MCycle Analysis ===

This test tracks machine cycle (MCycle) and T-state progression
to identify where JR instruction execution fails.

Uploading boot ROM...
Simulating cart download...
Ready

Running simulation...

Boot completed at cycle 39824

=== JP Instruction at $0150 (opcode=0xC3) ===
Cycle   PC     IR    MCycle TState MCycles_total  cpu_clken ce_cpu
-----   ----   ----  ------ ------ -------------  --------- ------
40366  $0150   $C3   M1     T2        3          0         0
40370  $0150   $C3   M1     T2        3          0         0
40374  $0150   $C3   M1     T2        3          0         0
40378  $0150   $C3   M1     T2        3          0         0
40382  $0150   $C3   M1     T3        3          0         0
40386  $0150   $C3   M1     T3        3          0         0
40390  $0150   $C3   M1     T3        3          0         0
40394  $0150   $C3   M1     T3        3          0         0
40398  $0150   $C3   M1     T3        3          0         0
40402  $0150   $C3   M1     T3        3          0         0
40406  $0150   $C3   M1     T3        3          0         0
40410  $0150   $C3   M1     T3        3          0         0
40414  $0150   $C3   M1     T3        3          0         0
40418  $0150   $C3   M1     T3        3          0         0
40422  $0150   $C3   M1     T3        3          0         0
40426  $0150   $C3   M1     T3        3          0         0
40430  $0150   $C3   M1     T3        3          0         0
40434  $0150   $C3   M1     T3        3          0         0
40438  $0150   $C3   M1     T3        3          0         0
40442  $0150   $C3   M1     T3        3          0         0
40446  $0150   $C3   M1     T4        3          0         0
40450  $0150   $C3   M1     T4        3          0         0
40454  $0150   $C3   M1     T4        3          0         0
40458  $0150   $C3   M1     T4        3          0         0
40462  $0150   $C3   M1     T4        3          0         0
40466  $0150   $C3   M1     T4        3          0         0
40470  $0150   $C3   M1     T4        3          0         0
40474  $0150   $C3   M1     T4        3          0         0
40478  $0150   $C3   M1     T4        3          0         0
40482  $0150   $C3   M1     T4        3          0         0
40486  $0150   $C3   M1     T4        3          0         0
40490  $0150   $C3   M1     T4        3          0         0
40494  $0150   $C3   M1     T4        3          0         0
40498  $0150   $C3   M1     T4        3          0         0
40502  $0150   $C3   M1     T4        3          0         0
40506  $0150   $C3   M1     T4        3          0         0
40510  $0150   $C3   M1     T5        3          0         0
40514  $0150   $C3   M1     T5        3          0         0
40518  $0150   $C3   M1     T5        3          0         0
40522  $0150   $C3   M1     T5        3          0         0
40526  $0151   $C3   M2     T2        3          0         0
40530  $0151   $C3   M2     T2        3          0         0
40534  $0151   $C3   M2     T2        3          0         0
40538  $0151   $C3   M2     T2        3          0         0
40542  $0151   $C3   M2     T3        3          0         0
40546  $0151   $C3   M2     T3        3          0         0
40550  $0151   $C3   M2     T3        3          0         0
40554  $0151   $C3   M2     T3        3          0         0
40558  $0151   $C3   M2     T3        3          0         0
40562  $0151   $C3   M2     T3        3          0         0
40566  $0151   $C3   M2     T3        3          0         0
40570  $0151   $C3   M2     T3        3          0         0
40574  $0151   $C3   M2     T3        3          0         0
40578  $0151   $C3   M2     T3        3          0         0
40582  $0151   $C3   M2     T3        3          0         0
40586  $0151   $C3   M2     T3        3          0         0
40590  $0151   $C3   M2     T3        3          0         0
40594  $0151   $C3   M2     T3        3          0         0
40598  $0151   $C3   M2     T3        3          0         0
40602  $0151   $C3   M2     T3        3          0         0
40606  $0151   $C3   M2     T4        3          0         0
40610  $0151   $C3   M2     T4        3          0         0
40614  $0151   $C3   M2     T4        3          0         0
40618  $0151   $C3   M2     T4        3          0         0
40622  $0151   $C3   M2     T4        3          0         0
40626  $0151   $C3   M2     T4        3          0         0
40630  $0151   $C3   M2     T4        3          0         0
40634  $0151   $C3   M2     T4        3          0         0
40638  $0151   $C3   M2     T4        3          0         0
40642  $0151   $C3   M2     T4        3          0         0
40646  $0151   $C3   M2     T4        3          0         0
40650  $0151   $C3   M2     T4        3          0         0
40654  $0151   $C3   M2     T4        3          0         0
